wlen 	 newgal_spectrum 
  5034.484 	     -0.047
  5035.316 	     -0.036
  5036.148 	     -0.044
  5036.980 	     -0.037
  5037.813 	     -0.026
  5038.645 	     -0.025
  5039.478 	     -0.023
  5040.311 	     -0.014
  5041.143 	     -0.021
  5041.976 	     -0.048
  5042.810 	     -0.061
  5043.643 	     -0.052
  5044.476 	     -0.046
  5045.310 	     -0.041
  5046.144 	     -0.033
  5046.977 	     -0.023
  5047.811 	     -0.022
  5048.645 	     -0.036
  5049.480 	     -0.029
  5050.314 	     -0.047
  5051.149 	     -0.051
  5051.983 	     -0.046
  5052.818 	     -0.054
  5053.653 	     -0.043
  5054.488 	      0.004
  5055.323 	      0.057
  5056.159 	      0.099
  5056.994 	      0.142
  5057.830 	      0.201
  5058.666 	      0.264
  5059.501 	      0.221
  5060.337 	      0.163
  5061.174 	      0.120
  5062.010 	      0.053
  5062.846 	      0.008
  5063.683 	     -0.011
  5064.520 	     -0.031
  5065.357 	     -0.040
  5066.194 	     -0.030
  5067.031 	     -0.035
  5067.868 	     -0.045
  5068.706 	     -0.032
  5069.543 	     -0.017
  5070.381 	     -0.026
  5071.219 	     -0.029
  5072.057 	     -0.022
  5072.895 	     -0.044
  5073.733 	     -0.062
  5074.571 	     -0.046
  5075.410 	     -0.012
  5076.249 	      0.008
  5077.087 	     -0.009
  5077.926 	     -0.030
  5078.765 	     -0.023
  5079.605 	     -0.030
  5080.444 	      0.006
  5081.283 	      0.017
  5082.123 	      0.022
  5082.963 	      0.030
  5083.803 	      0.037
  5084.643 	      0.040
  5085.483 	      0.041
  5086.323 	      0.033
  5087.164 	      0.013
  5088.004 	     -0.011
  5088.845 	     -0.021
  5089.686 	     -0.024
  5090.527 	     -0.016
  5091.368 	     -0.008
  5092.210 	     -0.011
  5093.051 	     -0.018
  5093.893 	     -0.022
  5094.734 	     -0.026
  5095.576 	     -0.027
  5096.418 	     -0.021
  5097.260 	     -0.007
  5098.103 	     -0.006
  5098.945 	      0.010
  5099.788 	      0.020
  5100.630 	      0.017
  5101.473 	     -0.002
  5102.316 	     -0.020
  5103.159 	     -0.013
  5104.003 	      0.004
  5104.846 	      0.001
  5105.689 	     -0.011
  5106.533 	      0.001
  5107.377 	      0.014
  5108.221 	      0.025
  5109.065 	      0.034
  5109.909 	      0.027
  5110.754 	      0.013
  5111.598 	      0.000
  5112.443 	     -0.004
  5113.288 	     -0.001
  5114.132 	      0.011
  5114.978 	      0.026
  5115.823 	      0.026
  5116.668 	      0.011
  5117.514 	     -0.003
  5118.359 	     -0.001
  5119.205 	     -0.015
  5120.051 	     -0.019
  5120.897 	     -0.005
  5121.743 	      0.015
  5122.589 	      0.023
  5123.436 	      0.007
  5124.283 	     -0.024
  5125.129 	     -0.032
  5125.976 	     -0.003
  5126.823 	      0.027
  5127.670 	      0.039
  5128.518 	      0.021
  5129.365 	     -0.008
  5130.213 	      0.004
  5131.060 	     -0.004
  5131.908 	     -0.033
  5132.756 	     -0.035
  5133.604 	     -0.034
  5134.453 	     -0.042
  5135.301 	     -0.046
  5136.150 	     -0.027
  5136.998 	      0.007
  5137.847 	      0.020
  5138.696 	      0.017
  5139.545 	      0.028
  5140.395 	      0.029
  5141.244 	      0.019
  5142.094 	      0.010
