WV      	 Sigma   
5327.165	    0.269
5328.045	    0.211
5328.925	    0.128
5329.806	    0.209
5330.687	    0.232
5331.568	    0.227
5332.449	    0.227
5333.330	    0.187
5334.211	    0.203
5335.092	    0.203
5335.974	    0.175
5336.856	    0.210
5337.738	    0.225
5338.620	    0.204
5339.502	    0.212
5340.384	    0.220
5341.267	    0.208
5342.149	    0.187
5343.032	    0.196
5343.915	    0.231
5344.798	    0.227
5345.681	    0.182
5346.564	    0.208
5347.448	    0.110
5348.331	    0.194
5349.215	    0.206
5350.099	    0.172
5350.983	    0.121
5351.867	    0.230
5352.752	    0.172
5353.636	    0.115
5354.521	    0.179
5355.406	    0.193
5356.291	    0.184
5357.176	    0.165
5358.061	    0.218
5358.946	    0.200
5359.832	    0.177
5360.718	    0.148
5361.603	    0.130
5362.489	    0.193
5363.375	    0.216
5364.262	    0.218
5365.148	    0.209
5366.035	    0.201
5366.921	    0.223
5367.808	    0.185
5368.695	    0.182
5369.582	    0.126
5370.470	    0.214
5371.357	    0.202
5372.245	    0.201
5373.132	    0.218
5374.020	    0.222
5374.908	    0.180
5375.796	    0.167
5376.685	    0.149
5377.573	    0.187
5378.462	    0.191
5379.350	    0.185
5380.239	    0.167
5381.128	    0.194
5382.018	    0.232
5382.907	    0.220
5383.796	    0.196
5384.686	    0.182
5385.576	    0.188
5386.466	    0.209
5387.356	    0.238
5388.246	    0.234
5389.136	    0.192
5390.027	    0.205
5390.918	    0.208
5391.808	    0.190
5392.699	    0.218
5393.590	    0.196
5394.482	    0.190
5395.373	    0.198
5396.265	    0.214
5397.156	    0.246
5398.048	    0.198
5398.940	    0.187
5399.832	    0.231
5400.724	    0.220
5401.617	    0.207
5402.509	    0.182
5403.402	    0.253
5404.295	    0.223
5405.188	    0.194
5406.081	    0.201
5406.975	    0.272
5407.868	    0.239
5408.762	    0.203
5409.655	    0.215
5410.549	    0.189
5411.443	    0.186
5412.338	    0.225
5413.232	    0.255
5414.126	    0.251
5415.021	    0.243
5415.916	    0.232
5416.811	    0.225
5417.706	    0.237
5418.601	    0.241
5419.496	    0.224
5420.392	    0.208
5421.288	    0.200
5422.183	    0.190
5423.079	    0.196
5423.976	    0.188
5424.872	    0.221
5425.768	    0.223
5426.665	    0.241
