WV      	 Sigma   
4981.565	    0.332
4982.460	    0.319
4983.356	    0.192
4984.251	    0.119
4985.146	    0.279
4986.042	    0.383
4986.938	    0.417
4987.834	    0.385
4988.730	    0.274
4989.626	    0.213
4990.523	    0.159
4991.419	    0.249
4992.316	    0.229
4993.213	    0.180
4994.110	    0.065
4995.007	    0.099
4995.905	    0.159
4996.802	    0.159
4997.700	    0.125
4998.598	    0.075
4999.496	    0.075
5000.394	    0.317
5001.293	    0.387
5002.191	    0.360
5003.090	    0.268
5003.989	    0.135
5004.888	    0.150
5005.787	    0.310
5006.687	    0.356
5007.586	    0.291
5008.486	    0.303
5009.386	    0.310
5010.286	    0.113
5011.186	    0.289
5012.086	    0.350
5012.987	    0.350
5013.887	    0.340
5014.788	    0.279
5015.689	    0.213
5016.590	    0.229
5017.492	    0.308
5018.393	    0.289
5019.295	    0.222
5020.197	    0.125
5021.098	    0.119
5022.001	    0.258
5022.903	    0.192
5023.805	    0.146
5024.708	    0.192
5025.611	    0.312
5026.514	    0.323
5027.417	    0.314
5028.320	    0.284
5029.223	    0.338
5030.127	    0.451
5031.031	    0.433
5031.935	    0.417
5032.839	    0.452
5033.743	    0.413
5034.647	    0.319
5035.552	    0.296
5036.456	    0.229
5037.361	    0.255
5038.266	    0.293
5039.172	    0.150
5040.077	    0.141
5040.982	    0.038
5041.888	    0.319
5042.794	    0.130
5043.700	    0.038
5044.606	    0.271
5045.513	    0.130
5046.419	    0.168
5047.326	    0.340
5048.233	    0.291
5049.140	    0.376
5050.047	    0.438
5050.954	    0.155
5051.861	    0.229
5052.769	    0.389
5053.677	    0.597
5054.585	    0.733
5055.493	    0.803
5056.401	    0.811
5057.310	    0.732
5058.218	    0.521
5059.127	    0.038
5060.036	    0.106
5060.945	    0.241
5061.855	    0.106
5062.764	    0.180
5063.674	    0.195
5064.583	    0.336
5065.493	    0.332
5066.403	    0.244
5067.314	    0.141
5068.224	    0.232
5069.135	    0.255
5070.045	    0.286
5070.956	    0.244
5071.867	    0.271
5072.779	    0.332
5073.690	    0.301
5074.602	    0.298
5075.513	    0.334
5076.425	    0.266
5077.337	    0.319
5078.249	    0.338
5079.162	    0.141
5080.074	    0.356
5080.987	    0.202
5081.900	    0.155
5082.813	    0.199
5083.726	    0.119
5084.640	    0.038
5085.553	    0.159
5086.467	    0.130
5087.381	    0.268
5088.295	    0.376
5089.209	    0.286
5090.123	    0.289
5091.038	    0.263
5091.952	    0.238
5092.867	    0.195
5093.782	    0.130
5094.697	    0.172
5095.613	    0.298
5096.528	    0.352
5097.444	    0.266
5098.360	    0.255
5099.276	    0.317
5100.192	    0.279
5101.108	    0.328
5102.025	    0.172
5102.941	    0.222
5103.858	    0.216
5104.775	    0.125
5105.692	    0.168
5106.610	    0.252
5107.527	    0.271
5108.445	    0.255
5109.363	    0.038
5110.281	    0.159
5111.199	    0.038
5112.117	    0.232
5113.036	    0.130
5113.954	    0.168
5114.873	    0.106
5115.792	    0.172
5116.711	    0.202
5117.630	    0.125
5118.550	    0.281
5119.469	    0.238
5120.389	    0.130
5121.309	    0.252
5122.229	    0.279
5123.150	    0.188
5124.070	    0.075
5124.991	    0.135
5125.911	    0.202
5126.832	    0.038
5127.753	    0.106
5128.675	    0.255
5129.596	    0.286
5130.518	    0.246
5131.440	    0.289
5132.362	    0.301
5133.284	    0.199
5134.206	    0.099
5135.128	    0.065
5136.051	    0.172
5136.974	    0.206
5137.897	    0.135
5138.820	    0.038
5139.743	    0.202
5140.666	    0.130
5141.590	    0.301
5142.514	    0.332
5143.438	    0.155
5144.362	    0.130
5145.286	    0.206
5146.211	    0.130
5147.135	    0.130
5148.060	    0.168
5148.985	    0.336
5149.910	    0.319
5150.835	    0.255
5151.761	    0.113
5152.686	    0.155
5153.612	    0.150
5154.538	    0.075
5155.464	    0.199
5156.390	    0.188
5157.317	    0.146
5158.243	    0.159
5159.170	    0.293
5160.097	    0.216
5161.024	    0.263
5161.951	    0.125
5162.879	    0.229
5163.806	    0.428
5164.734	    0.225
5165.662	    0.168
5166.590	    0.141
5167.518	    0.276
5168.447	    0.192
5169.375	    0.195
5170.304	    0.053
5171.233	    0.255
5172.162	    0.099
5173.091	    0.268
5174.021	    0.229
5174.950	    0.113
5175.880	    0.119
5176.810	    0.155
5177.740	    0.246
5178.670	    0.291
5179.601	    0.229
5180.531	    0.305
5181.462	    0.323
5182.393	    0.209
5183.324	    0.053
5184.255	    0.092
5185.187	    0.219
5186.118	    0.370
5187.050	    0.159
5187.982	    0.130
5188.914	    0.284
5189.846	    0.232
5190.779	    0.199
5191.712	    0.235
5192.644	    0.319
5193.577	    0.350
5194.510	    0.346
5195.444	    0.340
5196.377	    0.336
5197.311	    0.332
5198.244	    0.328
5199.178	    0.323
5200.112	    0.319
5201.047	    0.314
5201.981	    0.310
5202.916	    0.308
5203.851	    0.305
5204.786	    0.301
5205.721	    0.298
5206.656	    0.298
5207.591	    0.296
5208.527	    0.296
5209.463	    0.293
5210.399	    0.293
5211.335	    0.293
5212.271	    0.293
5213.208	    0.296
5214.144	    0.296
5215.081	    0.296
5216.018	    0.296
5216.955	    0.298
5217.892	    0.298
5218.830	    0.298
5219.768	    0.298
5220.705	    0.296
5221.643	    0.296
5222.582	    0.293
5223.520	    0.291
5224.458	    0.289
5225.397	    0.284
5226.336	    0.279
5227.275	    0.274
5228.214	    0.268
5229.153	    0.263
5230.093	    0.255
5231.032	    0.246
5231.972	    0.241
5232.912	    0.232
5233.852	    0.222
5234.793	    0.213
5235.733	    0.202
5236.674	    0.252
5237.615	    0.344
5238.556	    0.364
5239.497	    0.352
5240.438	    0.378
5241.380	    0.325
5242.322	    0.321
5243.263	    0.383
5244.205	    0.392
5245.148	    0.348
5246.090	    0.385
5247.033	    0.462
5247.975	    0.510
5248.918	    0.541
5249.861	    0.537
5250.804	    0.510
5251.748	    0.510
5252.691	    0.480
5253.635	    0.362
5254.579	    0.281
5255.523	    0.119
5256.467	    0.113
5257.412	    0.229
5258.356	    0.209
5259.301	    0.216
5260.246	    0.146
5261.191	    0.291
5262.136	    0.380
5263.082	    0.348
5264.027	    0.274
5264.973	    0.222
5265.919	    0.219
5266.865	    0.249
5267.811	    0.260
5268.758	    0.370
5269.704	    0.430
5270.651	    0.383
5271.598	    0.317
5272.545	    0.268
5273.493	    0.356
5274.440	    0.279
5275.388	    0.075
5276.335	    0.099
5277.283	    0.216
5278.232	    0.271
5279.180	    0.219
5280.128	    0.155
5281.077	    0.258
5282.026	    0.229
5282.975	    0.184
5283.924	    0.113
5284.873	    0.130
5285.823	    0.065
5286.773	    0.244
5287.722	    0.206
5288.672	    0.258
5289.623	    0.216
5290.573	    0.232
5291.523	    0.303
5292.474	    0.238
5293.425	    0.053
5294.376	    0.188
5295.327	    0.317
5296.279	    0.346
5297.230	    0.279
5298.182	    0.159
5299.134	    0.150
5300.086	    0.216
5301.038	    0.202
5301.991	    0.155
5302.943	    0.106
5303.896	    0.130
5304.849	    0.199
5305.802	    0.168
5306.755	    0.222
5307.709	    0.164
5308.662	    0.099
5309.616	    0.135
5310.570	    0.195
5311.524	    0.130
5312.478	    0.150
5313.433	    0.195
5314.388	    0.293
5315.342	    0.305
5316.297	    0.263
5317.252	    0.119
5318.208	    0.092
5319.163	    0.276
5320.119	    0.274
5321.075	    0.279
5322.031	    0.209
5322.987	    0.268
5323.943	    0.038
5324.900	    0.168
5325.857	    0.260
5326.813	    0.184
5327.770	    0.038
5328.728	    0.180
5329.685	    0.241
5330.643	    0.241
5331.600	    0.180
5332.558	    0.113
5333.516	    0.038
5334.475	    0.065
5335.433	    0.168
5336.392	    0.206
5337.350	    0.053
5338.309	    0.150
5339.268	    0.286
5340.228	    0.213
5341.187	    0.258
5342.147	    0.258
5343.107	    0.232
5344.067	    0.199
5345.027	    0.202
5345.987	    0.209
5346.947	    0.075
5347.908	    0.225
5348.869	    0.092
5349.830	    0.184
5350.791	    0.209
5351.752	    0.119
5352.714	    0.298
5353.676	    0.296
5354.638	    0.202
5355.600	    0.092
5356.562	    0.119
5357.524	    0.188
5358.487	    0.106
5359.449	    0.202
5360.412	    0.332
5361.375	    0.192
5362.339	    0.350
5363.302	    0.150
5364.266	    0.284
5365.230	    0.065
5366.193	    0.172
5367.158	    0.238
5368.122	    0.206
5369.086	    0.206
5370.051	    0.075
5371.016	    0.199
5371.981	    0.312
5372.946	    0.308
5373.911	    0.099
5374.877	    0.202
5375.842	    0.258
5376.808	    0.276
5377.774	    0.232
